"time","x","y","z","abs"
1.813554479E0,-8.810662031E-1,-7.661445439E-2,1.206677675E0,1.496067659E0
1.833536354E0,-1.005564690E0,-4.596867263E-1,1.292868972E0,1.701170894E0
1.853532291E0,-8.044517636E-1,-7.469909191E-1,4.118026793E-1,1.172484337E0
1.873552135E0,-3.734954596E-1,-1.053448796E0,-3.639186621E-1,1.175453111E0
1.893589687E0,-6.703764796E-1,-1.426944256E0,-1.283292055E0,2.032833744E0
1.913534739E0,-1.522712231E0,-1.522712231E0,2.011129409E-1,2.162811016E0
1.933528645E0,-8.523358107E-1,-1.149216771E0,8.810662031E-1,1.680313416E0
1.953528437E0,2.394201756E-1,-4.501099288E-1,1.101332784E0,1.213612322E0
1.973546614E0,-1.628057212E-1,-1.331176162E0,2.298433542E0,2.661077305E0
1.993521666E0,-1.723825186E-1,-2.020706177E0,2.489969730E0,3.211373296E0
2.013534739E0,5.363011956E-1,-2.183511972E0,1.570596337E0,2.742647692E0
2.033536562E0,4.788403511E-1,-2.997540474E0,-3.639186621E-1,3.057282088E0
2.053518281E0,1.455674648E0,-2.633621931E0,-1.647210717E0,3.430489222E0
2.073531145E0,2.011129379E0,-2.432508945E0,-1.101332784E0,3.342854327E0
2.093649635E0,2.011129379E0,-2.126051188E0,-2.240972757E0,3.686013284E0
2.113545729E0,1.225831270E0,-1.656787634E0,-2.968810081E0,3.614061547E0
2.133519426E0,8.619126081E-1,-1.158793569E0,-2.365471363E0,2.771488887E0
2.153534062E0,1.972822189E0,1.819593310E-1,-1.944091797E0,2.775721438E0
2.173541197E0,1.551442742E0,4.788403213E-2,-1.331176162E0,2.044822104E0
2.193565156E0,1.158793569E0,1.043871999E0,-3.830722719E-2,1.560108563E0
2.213529739E0,7.278373241E-1,5.937620401E-1,1.493981838E0,1.764732916E0
2.233536093E0,-6.320692301E-1,5.841852427E-1,1.944091797E0,2.126094265E0
2.253536666E0,-1.944091797E0,8.140285611E-1,3.294421434E0,3.910926744E0
2.273514999E0,-1.810016513E0,7.661445141E-1,4.443638325E0,4.858915389E0
2.293522603E0,-4.022258818E-1,1.637633920E0,4.108449936E0,4.441057463E0
2.313533072E0,8.236053586E-1,2.662352324E0,3.064578176E-1,2.803633727E0
2.333529947E0,-9.576806426E-2,1.685518026E0,-3.438073635E0,3.830207939E0
2.353537656E0,-4.022258818E-1,-4.788403213E-2,-1.944091797E0,1.985842757E0
2.373522603E0,-1.053448796E0,-2.212242365E0,-3.447650373E-1,2.474395599E0
2.393545728E0,2.681505919E0,-1.005564690E0,-1.158793569E0,3.089407204E0
2.413550103E0,3.438073635E0,1.024718285E0,-2.911349297E0,4.620211317E0
2.433528541E0,9.193734527E-1,-2.106897533E-1,-8.523358107E-1,1.271264745E0
2.453521874E0,1.024718285E0,-1.532289028E0,1.637633920E0,2.465725468E0
2.473524166E0,2.173935175E0,-1.436521053E0,1.446097851E0,2.980064744E0
2.493528645E0,1.877054095E0,-1.608903527E0,7.661445141E-1,2.588219475E0
2.513525989E0,6.224924326E-1,-1.695094824E0,1.244984865E0,2.193360573E0
2.533520937E0,-6.607996821E-1,-1.810016513E0,-5.746084079E-2,1.927723462E0
2.553552447E0,-4.979939461E-1,1.024718285E0,2.585737705E-1,1.168291885E0
2.573531822E0,-1.120486379E0,1.838746905E0,3.543418646E-1,2.182209445E0
2.593523801E0,-1.484405041E0,2.509123325E0,3.926490843E-1,2.941654550E0
2.613523385E0,-1.810016513E0,2.671929121E0,-2.106897533E-1,3.234154476E0
2.633534114E0,-2.317587137E0,2.250549555E0,-3.926490843E-1,3.254282830E0
2.653531978E0,-1.819593310E0,4.692635238E-1,-4.788403511E-1,1.939179247E0
2.673524687E0,-1.656787634E0,-8.906430602E-1,-6.991068721E-1,2.006723883E0
2.693524687E0,-4.596867263E-1,-5.554547906E-1,1.474828243E0,1.641633412E0
2.713528958E0,2.059013367E0,-5.363011956E-1,1.130063176E0,2.409190279E0
2.733539426E0,-3.160346150E-1,-8.906430602E-1,7.948749661E-1,1.234888315E0
