time,id,rssi
1708891159841 , 30:f7:72:b7:4c:28 , -72
1708891159841 , 12:66:82:7f:ca:16 , -78
1708891159841 , 38:e0:8e:cd:cd:3b , -86
1708891159841 , 92:96:f3:40:13:53 , -81
1708891159841 , 90:96:f3:40:13:5a , -93
1708891159841 , 30:f7:72:b7:4c:29 , -85
1708891159841 , 08:10:86:98:70:f6 , -75
1708891159841 , 92:96:f3:40:13:52 , -83
1708891159841 , 08:10:86:98:96:92 , -76
1708891159841 , 50:c4:dd:c6:8f:30 , -67
1708891159841 , 80:22:a7:1c:80:ba , -87
1708891159841 , 50:c4:dd:ce:28:e2 , -85
1708891159841 , 08:10:86:98:70:f7 , -82
1708891164958 , 58:27:8c:a0:76:c1 , -82
1708891164958 , 6a:db:f5:00:eb:9f , -88
1708891164958 , 74:03:bd:e1:55:30 , -86
1708891164959 , 08:10:86:98:96:93 , -82
1708891164959 , 58:27:8c:90:49:50 , -85
1708891164959 , 08:10:86:98:27:42 , -87
1708891164959 , d8:21:da:63:e6:a4 , -91
1708891164959 , 58:27:8c:90:49:51 , -84
1708891164959 , 50:c4:dd:c6:8f:37 , -67
1708891164959 , 74:03:bd:e1:55:37 , -91
1708891164959 , bc:5c:4c:ae:b5:92 , -91
1708891164959 , 08:10:86:98:a1:53 , -86
1708891164959 , 10:66:82:7f:ca:16 , -79
1708891164959 , 90:96:f3:40:13:59 , -93
1708891164959 , 08:10:86:98:a1:52 , -83
1708891164959 , 02:16:78:25:d0:d0 , -90
1708891164959 , 30:f7:72:b7:4c:28 , -74
1708891164959 , 12:66:82:7f:ca:16 , -78
1708891164959 , 38:e0:8e:cd:cd:3b , -83
1708891164959 , 92:96:f3:40:13:53 , -81
1708891164959 , 90:96:f3:40:13:5a , -93
1708891164959 , 30:f7:72:b7:4c:29 , -86
1708891164959 , 08:10:86:98:70:f6 , -75
1708891164959 , 92:96:f3:40:13:52 , -79
1708891164959 , 08:10:86:98:96:92 , -76
1708891164959 , 50:c4:dd:c6:8f:30 , -67
1708891164959 , 80:22:a7:1c:80:ba , -87
1708891164960 , 50:c4:dd:ce:28:e2 , -85
1708891164960 , 08:10:86:98:70:f7 , -81
1708891169947 , 58:27:8c:a0:76:c1 , -81
1708891169947 , 6a:db:f5:00:eb:9f , -88
1708891169947 , 74:03:bd:e1:55:30 , -88
1708891169947 , 08:10:86:98:96:93 , -82
1708891169947 , 58:27:8c:90:49:50 , -85
1708891169947 , 08:10:86:98:27:42 , -87
1708891169947 , d8:21:da:63:e6:a4 , -89
1708891169947 , 58:27:8c:90:49:51 , -86
1708891169947 , 50:c4:dd:c6:8f:37 , -67
1708891169947 , 74:03:bd:e1:55:37 , -91
1708891169947 , bc:5c:4c:ae:b5:92 , -91
1708891169948 , 08:10:86:98:a1:53 , -85
1708891169948 , 10:66:82:7f:ca:16 , -79
1708891169948 , 90:96:f3:40:13:59 , -93
1708891169948 , 08:10:86:98:a1:52 , -83
1708891169948 , 02:16:78:25:d0:d0 , -88
1708891169948 , 90:96:f3:40:13:5f , -92
1708891169948 , 30:f7:72:b7:4c:28 , -72
1708891169948 , 12:66:82:7f:ca:16 , -78
1708891169948 , 38:e0:8e:cd:cd:3b , -88
1708891169948 , 92:96:f3:40:13:53 , -81
1708891169948 , 90:96:f3:40:13:5a , -93
1708891169948 , 30:f7:72:b7:4c:29 , -85
1708891169948 , 08:10:86:98:70:f6 , -72
1708891169948 , 92:96:f3:40:13:52 , -81
