,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max,answer
2500,0.04134363571,0.4008719070056716,-1.2661009,-0.08927225875,0.0288181305,0.18631196,1.3569593,-0.017238387919999997,0.26262384359687785,-0.5045681,-0.2270901175,-0.018852472000000002,0.1530215775,0.6518879,-0.11847324804800001,0.28241586189740736,-0.9353266,-0.28555369,-0.09556484000000001,0.085354447,0.5360184,2
2550,0.07999892868,0.942181594892987,-2.244183,-0.2673882225,0.070655702,0.4608019075,3.9570222,-0.06190324551999998,0.9914073671634925,-3.5415053,-0.57017111,-0.084141732,0.3129808825,3.5619626,-0.042287995720000006,0.5789850775850327,-2.1576476,-0.37264979,-0.1168251025,0.446796175,0.98943233,2
2600,0.05621985316560005,1.5256543399383002,-3.598564,-0.876687655,0.367875335,0.9592084750000001,3.2696798,3.391278000000497e-05,1.3554736142361288,-2.2926393,-0.965310935,-0.086297752,0.658668275,3.5875535,-0.09077376398000002,0.9181945434303829,-2.9779162,-0.5142297699999999,-0.0715494175,0.30860185500000004,3.116609,2
2650,0.2017279386,2.533871257267895,-4.413966,-2.38653045,0.7463416850000001,2.232326025,4.4418945,-0.12254066716999996,2.5028061304923175,-5.1392074,-1.696049175,-0.23000765,1.0842978,5.8011746,-0.14366614811999998,1.926578538402295,-4.1970787,-1.662081925,-0.16827965,1.20139901,3.9466686,2
2700,0.2633558306000001,4.181340937858718,-7.411578,-2.865467625,0.2831496,3.15314605,8.668425,0.11227487289999998,3.434890667847154,-7.2796283,-1.939819725,0.18473053,2.086294625,8.336722,-0.057718031699999964,1.4718303325685504,-2.9287882,-1.1727348499999999,-0.084620475,0.683201325,3.969514,2
2750,0.36364662759999994,4.16373875549446,-6.673617,-3.2085574,0.88256216,3.8002286,7.1666727,-0.01484674768000005,3.2933325230449,-6.871762,-2.5589988999999997,-0.1430707,1.4598525,7.34663,-0.17177136189999997,1.7840471229252508,-3.6804252,-1.364905825,-0.17922425250000001,0.7229048075,4.364172,2
2800,0.4990638584,4.237855853431811,-8.900839,-0.44259267999999996,0.21410096,1.05648435,19.532555,-0.005435986531999958,3.1090614129796323,-7.878382,-0.859758875,-0.0233521468,0.5141061625,10.764332,-0.38273773059999994,2.5587563539527802,-12.729595,-0.80468475,-0.2638309,0.33578551,9.45097,2
2850,0.19768963907999995,0.5455225181642561,-1.0822306,-0.05993795325,0.17911029,0.462757645,1.6813493,-0.27165771408000006,0.7509717937325193,-1.9191049,-0.7338555,-0.31018251500000005,0.2241726825,1.418688,-0.21837195242,0.6694321500609728,-1.9410834,-0.46936083,-0.17610049,0.11229693875,1.7005663,2
2900,0.10595307136799996,1.0662085204071812,-2.5870245,-0.430119275,-0.0122134688,0.92665077,2.6435986,-0.13682477084000003,1.3482457606900615,-2.0235229,-0.9621337975,-0.37121654000000004,0.45425625000000003,6.246642,-0.11800818155999998,0.9631179973990777,-2.4156408,-0.7346086525,-0.08157515500000001,0.5358446825,1.714921,2
2950,-0.01625054578000002,0.9262852778860727,-1.6412215,-0.597619775,-0.0377900595,0.3897748,3.0156145,-0.23285434985999998,1.2172288610291948,-3.4558144,-0.7697411125,-0.347049535,0.223965375,3.0158463,-0.11572981903999999,0.7300284927198907,-2.0092278,-0.5901941100000001,-0.17940569,0.412912975,1.2749119,2
3000,-0.005089642060000003,1.3108657244189024,-2.6401134,-0.9247909774999999,-0.1626873,1.0195853750000001,2.7849288,-0.07804736914,1.1869739422736998,-2.6013129,-1.0477892,-0.030021310000000002,0.718802335,3.073985,-0.11731963440000001,0.8206215232157373,-2.4443882,-0.6819513850000001,-0.157473085,0.5261867075,1.591846,2
3050,0.23345313646,1.254907655513109,-3.8699253,-0.34990394,0.35979174999999997,1.229688675,2.3748617,-0.21440428578000004,1.0682957876561237,-1.7223232,-0.88536565,-0.312593575,0.051281690000000005,4.936404,-0.11305813894,0.6656695539794684,-2.376536,-0.47745204,-0.0451209545,0.29520809,1.1120725,2
3100,-0.07211557515999997,1.3658303199864255,-2.8507748,-0.972874625,0.063191176,0.6603528275,3.3080096,-0.023621056351999986,1.082989786654099,-2.7473896,-0.673946445,-0.11308491200000001,0.65698427,3.387464,-0.12841153039579997,0.7938633966810368,-2.3939261,-0.69893111,-0.151444435,0.45493805,1.625998,2
3150,-0.014121327660000021,1.8200288568899017,-7.27872,-0.6335808025,-0.0599823,0.5467660449999999,4.860444,-0.051907975733999974,1.6659572006990058,-2.0933805,-1.17682355,-0.29154276,0.5112102350000001,7.0689073,-0.10519960315999999,0.8585516019509554,-2.735326,-0.583486675,-0.076019524,0.385356895,1.568213,2
3200,0.10915510383999998,1.5661241422849481,-3.0866904,-0.6698963625000001,-0.0556645395,0.912109845,5.0932293,-0.15535967348000002,1.4243905880935182,-3.14515,-0.943353575,-0.2330322275,0.6985091425,3.6272082,-0.10466505077999999,0.8190085625566936,-1.7898059,-0.573201525,-0.13155365,0.623339655,1.0804124,2
3250,0.0001783047259999826,2.0569153438274297,-5.172904,-0.498282925,0.0334789755,0.97654795,5.1447763,-0.031473862619999994,1.8279483826507954,-3.5638688,-1.204149275,-0.170354425,0.752902635,7.7679634,-0.06406268158000002,0.7296150227490115,-1.4782276,-0.5629365475,0.009738445499999998,0.416678665,1.3761029,2
3300,0.09259871751999998,1.3498947871528848,-3.3251078,-0.634412515,-0.0378239155,0.7369140325,5.247151,-0.192382898,1.674025168304315,-6.8767405,-1.097501225,-0.38206422,0.655007575,4.2855635,-0.02795562298,0.8828286438707658,-1.4679089,-0.51065314,-0.13217497,0.30688607500000004,4.501142,2
3350,0.11541272543999997,1.97646927948167,-4.863044,-0.886403825,0.010089875999999998,1.3175226,6.529639,0.07796932038000005,2.2979081834547403,-5.3324614,-0.9235951874999999,0.012278914500000002,0.8673116750000001,8.58371,-0.29964373798,0.9452210509954991,-2.6210973,-1.064729475,-0.433426855,0.3897941125,1.548924,2
3400,0.02663769216,0.4193459099249955,-0.7236862,-0.226411105,-0.057755948,0.292239195,1.0572004,-0.0430095578,0.4589297360411134,-0.9665675,-0.300341245,0.005454063499999998,0.1999722725,1.0655751,0.040519138994000004,0.46511529838156246,-1.3723903,-0.2051503025,-0.012221455150000001,0.3601605325,0.98681307,2
3450,0.18418348366600001,0.2912758341135483,-0.29780293,0.02683758725,0.12861967000000002,0.26043545,0.9615798,0.07538226081999999,0.2561961519611077,-0.40458107,-0.11952388,0.07641673,0.19867873249999998,0.7368431,-0.16634439045999996,0.37589950613873224,-1.5751259,-0.3070751725,-0.16057496,0.023392997999999998,0.5460241,2
3500,0.02166748107999999,0.3331055361271737,-0.84953976,-0.0958029025,0.06470680300000001,0.21412885,0.7608557,-0.04726630416,0.6694065354949964,-1.7752986,-0.405367735,0.073343753,0.3349223125,1.4983568,-0.07594769974,0.3569001253452745,-0.93171597,-0.2559943825,-0.0553663985,0.1637277025,0.7568321,2
3550,-0.0017463516600000034,1.7794800813131417,-3.5677814,-0.74766075,-0.09295392,0.32666659,6.099408,0.19210711409999998,1.897737067773783,-6.5231905,-0.74784529,0.19075631999999998,0.865403295,6.8058195,-0.33538246902800006,1.7595217621889072,-7.17287,-0.558789865,-0.0130505562,0.514359255,2.4127007,2
3600,0.289049113142,1.40849407775892,-1.2579222,-0.3402035125,0.0419781226,0.46374785749999997,8.871237,-0.26317328446,1.0906401221725315,-5.3327746,-0.5898184575,-0.10471368,0.31582749,1.7018919,-0.12492638769999999,0.6884873983884642,-2.1215951,-0.5234721499999999,-0.1020298005,0.374560235,1.2583437,2
3650,0.09429964115200003,1.3091042312873225,-2.0679183,-0.555403215,0.018034218799999998,0.6073191125,4.736657,0.08487729167000001,0.9831138969623794,-2.8994823,-0.4505907325,0.057158947,0.6169623125,2.6153846,-0.25323264282,1.219330525020649,-5.8842516,-0.5493753625,-0.172114375,0.21866547749999998,2.41609,2
3700,-0.13470782908,1.5790134437214776,-3.676193,-0.880759575,-0.18405652,0.54652295,5.971632,0.08073889739999998,0.9952638859325069,-2.213441,-0.45751524,-0.03168344499999999,0.4814296925,3.0039108,-0.11443209569999999,0.9667586800702974,-4.433664,-0.4726811025,-0.10795044749999999,0.36941260249999996,2.1412978,2
3750,0.04596957144800001,0.2666184109280275,-0.6700907,-0.15303206749999998,0.053396225000000005,0.19923794,0.7388177,-0.016376647964800012,0.2529468516050051,-0.6501856,-0.174441695,0.005178689879999999,0.12740672,0.52639914,-0.005916943062000001,0.2489158296746009,-0.49897218,-0.18801992750000002,-0.00169599055,0.2002657625,0.4904449,2
3800,0.07002559868000001,0.6746391665297216,-2.3163638,-0.22453761249999998,0.033144951,0.23185158,2.6869264,-0.11467397585999999,0.7749011527533929,-2.4858708,-0.33664834499999996,-0.003160953499999999,0.24483442,1.5516629,-0.209461215084,0.9266834913000871,-5.897091,-0.30908185250000003,-0.007226705599999999,0.14803487250000003,0.62792397,2
3850,0.043619289299999996,2.069093752153306,-3.556697,-1.12399875,-0.174196005,0.7057517775,7.4363127,-0.016894618599999953,2.1262130456568062,-3.6622968,-1.11543585,-0.126151325,0.862692595,9.568893,-0.10557510170000002,1.5064535585864227,-7.580449,-0.6106262650000001,-0.039258482,0.336624205,3.7715654,2
3900,-0.004194070729200003,1.2154834850431273,-2.6937218,-0.36928773,0.005404233919999999,0.36771453,4.327734,-0.09355337834,1.3051603605689281,-5.057875,-0.6933363775,-0.0826592445,0.359594465,4.2441616,-0.025634859040000006,0.8094787538993468,-3.5381413,-0.267250245,-0.054387928499999995,0.41132814500000003,2.0469294,2
3950,-0.01778218243999999,0.9407241436281749,-2.1149614,-0.39924359499999995,-0.14803767499999998,0.23086965249999997,4.0905075,0.0023291595000000066,1.1703829974208977,-3.5723367,-0.3522133825,0.024371146500000003,0.2508248125,5.264629,-0.16040915106480008,1.6061699204950242,-8.475421,-0.374308825,0.01496148088,0.39999753,1.9872913,2
4000,0.07755051412000002,1.2076335169724806,-2.765275,-0.2859712825,0.100870849,0.5331733,5.303696,-0.04934122935519998,1.6672841677073689,-7.90405,-0.460281985,0.00725650775,0.33413339,6.5606437,-0.19417346477,1.0992593359978673,-5.2515073,-0.42488366499999997,-0.14190385,0.268441435,1.9379778,2
4050,0.05815907503599999,0.30846812476396146,-0.5642848,-0.1643086625,0.0739793765,0.2387729875,0.6650915,-0.090323228614,0.3355796701101509,-0.6726748,-0.3172580275,-0.1292411675,0.078446689,0.8202715,0.09787476129999999,0.4395232544053311,-0.8699541,-0.17923247750000001,0.0693080425,0.42222833000000004,1.0438204,2
4100,0.13662853562199995,0.9421045188958868,-2.4934666,-0.189001025,0.0311074255,0.3563942825,3.6550324,0.27489150935999995,0.8790663511437732,-1.5496387,-0.1994569275,0.115703582,0.48604691499999997,2.368908,-0.35803191394,1.6899197031193351,-4.300842,-0.92294006,-0.292212665,0.42183015,6.752875,2
4150,0.041032571634,0.23751562725373743,-0.5029521,-0.11109912375,0.00830578805,0.172177315,0.648664,-0.09311515889000001,0.46304465878469,-0.9590578,-0.38556135,-0.092481375,0.2012013175,0.929677,0.09085065096000002,0.3646180833522521,-0.6887656,-0.0965984025,0.034512997000000004,0.3273345225,1.2031381,2
4200,0.004579276578000005,0.29635657991281156,-0.83859634,-0.17740285749999998,0.00591754895,0.1721057875,0.6459198,-0.02990584644000001,0.49851799354848636,-1.5701575,-0.3275728225,-0.029095173000000002,0.36119217,1.2618139,-0.1349262370388,0.4273527783849372,-1.7069168,-0.35270092,-0.06576752500000001,0.0740031025,0.72627354,2
4250,0.04561166751999999,0.41681430613400516,-1.2968516,-0.2215301975,0.05440259,0.3062543825,1.0268955,-0.029537174259999976,0.7173758673363847,-1.7275774,-0.3391966825,0.0270164015,0.49628704500000004,1.2069414,0.05030005824,0.5556947259909774,-1.6128945,-0.1585917475,0.0670089725,0.28956747,1.4363246,2
4300,-0.11658914508000004,1.3522276837949223,-2.8485565,-0.85971105,-0.31890702,0.71496427,3.2369032,0.08545810270000001,0.9402316346769821,-1.3523071,-0.6034756925,-0.084779143,0.717174505,2.6673372,-0.04515444692000001,0.5857084186063832,-1.5063868,-0.32313203749999997,-0.07264256499999999,0.36874759749999997,1.9899216,2
4350,0.16965909106,1.3777167080107944,-3.1968684,-0.62986862,0.163268565,1.404268775,2.6044588,-0.10370374830800001,1.1306180173956704,-2.6986866,-0.7433593875,-0.0156048537,0.5764057675,2.6899536,-0.01568411933400002,0.9241825875938201,-2.5358706,-0.4367146475,0.00953221315,0.61251307,2.1145954,2
4400,-0.067353891172,1.0153792084479047,-3.9491012,-0.4520735725,-0.140512465,0.39627683999999996,2.4698467,0.11493030398000002,1.2132200826646358,-2.2600625,-0.7810234425,0.18145644500000002,0.9484770925,2.9461312,-0.07603899845999998,1.0740288212230453,-2.3982172,-0.70237148,-0.074046135,0.6022086,2.102765,2
4450,0.14601285619999996,2.087759183828129,-4.6437187,-1.03352245,0.2486918,1.298009375,5.0878873,-0.07340704542999998,1.8544525553097841,-3.7180786,-1.253849825,-0.1505456,0.990923315,4.169777,-0.0772008164,1.234370706221207,-2.641889,-0.8202002075,0.147177455,0.8079640800000001,2.2557344,2
4500,-0.0139037454999999,1.868435499099248,-4.39598,-0.5566126,-0.047706842500000006,0.798942925,4.7098627,-0.074905428018,2.231444255186873,-6.874186,-1.009724175,-0.0034630299500000004,0.624484845,6.855895,-0.146278508,1.1651159711920098,-4.691902,-0.7813880525,-0.039958,0.5208241825000001,3.00942,2
4550,0.03620439594,0.2893718110489379,-0.8591056,-0.1282776575,0.0492942335,0.2203105675,0.5912967,-0.05683232937999998,0.3355400858486473,-0.85182095,-0.26154244000000004,-0.086089375,0.18587613,0.5908396,-0.075500401548,0.3853636235384374,-1.6524405,-0.2806380975,-0.0287787905,0.1577328475,0.51743793,2
4600,0.06469122035399996,1.9550659649889297,-4.4574094,-0.835560065,0.0040733816,1.096220625,4.6236463,0.10686917212000001,1.998544589665409,-4.354696,-1.47431505,0.014569283000000002,1.069135575,5.2736497,0.10622023031999998,1.534570746566822,-3.709156,-0.722913635,0.0568313595,0.968080775,3.7913227,2
4650,0.024458888360000063,2.1007358133410663,-4.38492,-1.3686266249999999,0.025666475,1.4875388999999999,3.593618,-0.07312241539999999,1.7175199984501812,-4.220648,-1.3305821500000001,-0.156352755,1.3820494,2.8597698,-0.10063338880000001,1.2525307627489746,-2.9147809,-0.7720686175,0.11314869,0.8402105550000001,2.0802684,2
4700,0.05382407500000001,1.7322771751611827,-3.9223118,-1.1465590125,0.08286595499999999,0.918539425,3.650578,0.06272539540000002,2.1189499311586446,-3.734771,-1.7385807,-0.05738353999999998,1.80775875,5.1914625,-0.104048418,0.7937586869061843,-1.9640062,-0.53031646,-0.0938479905,0.40495539,1.7075729,2
4750,0.1189405893,2.0913637732594874,-5.2222595,-0.8309991324999999,-6.866450000000274e-05,1.1720121,5.759573,-0.03317038759999993,2.4979332573672703,-5.6222878,-1.159328975,-0.17552328,0.984386225,6.7673373,-0.1962005531799999,1.469516117780273,-4.5288463,-0.9421110125000001,-0.132983205,0.3989912325,5.454251,2
4800,0.1306966872,1.9867607339915903,-4.081007,-1.1226107,-0.29107309000000003,1.5129346,5.290947,-0.09581470956,1.6694936937934133,-5.1917386,-1.0850743999999999,-0.23229813500000002,1.042110525,4.23271,-0.1316548341704,1.1608540168866917,-2.933388,-0.9116821375,-0.20281816000000003,0.8652029050000001,2.2252378,2
4850,-0.005741986634799954,2.2104290934347453,-3.9667618,-1.597975275,0.00403046613,0.9109138299999999,5.7447433,-0.12399046440000001,1.858368608280141,-4.549589,-1.2206887,0.026599764999999997,0.927969,3.0858183,-0.04609531494799997,1.1939671176887796,-2.5123897,-0.8304329375,0.085603235,0.78833413,1.9619164,2
4900,0.06362602682000004,3.0464445768751682,-5.5764217,-2.167263175,0.30577849999999995,1.790822525,7.515663,-0.0014392052800000043,2.25178434638517,-6.990021,-1.0074921250000002,0.198610065,1.518552975,4.538899,-0.24294701301999996,1.0853281702936728,-3.2130632,-0.8714966675,-0.31517101000000003,0.5021480300000001,2.1062183,2
4950,0.06473150958600002,1.0473862909504537,-4.22862,-0.05797171625,0.0687191475,0.2017098675,5.493718,0.004966092290000019,0.8887980524142585,-4.6676826,-0.2326613675,0.06883025000000001,0.29613388,2.6181211,-0.1947329384,0.4072625341165299,-1.2605839,-0.41297053,-0.252449005,0.01350897525,1.5300565,2
5000,0.18409530313999997,1.6934821649262162,-4.5171137,-0.28567768,0.114632128,0.4602326075,7.4690022,-0.05408626869999999,1.0731222788022625,-2.760985,-0.689705965,-0.066617965,0.3903447425,2.6172566,-0.11842523874000001,2.073174713130235,-5.4336877,-0.8329345,-0.209725735,0.16941267,11.873159,2
5050,0.16199480266,1.2273739281410025,-2.5926404,-0.38420105,0.102674008,0.47722911749999997,4.1964726,-0.17609225072000004,1.41142127947942,-5.3663225,-0.5793434975,-0.009528041000000001,0.553315325,2.7661357,-0.16213185774000005,1.065546155841124,-3.300384,-0.8082813025000001,-0.220111135,0.57706428,2.280295,2
5100,-0.02838888452,2.2549699486319206,-4.4283886,-1.353044625,-0.10418105300000001,1.456911225,4.807753,0.03911678036000002,1.9526387154521399,-4.256619,-1.31362525,-0.2230798,1.56502955,4.3610244,-0.11434022630000003,1.2332493513345204,-2.7572007,-1.2048254999999999,0.10081458,0.8606015499999999,1.6958108,2
5150,0.20679415716999994,0.883267621409475,-1.6304269,-0.2039020075,0.021645307500000002,0.5776017999999999,4.15698,-0.1165543953,1.4795960788864218,-3.9358816,-1.0139833999999999,-0.175444245,0.7115989925,3.8679943,-0.36516817085,1.0239653088916891,-3.0820708,-1.1462935,-0.31709671500000003,0.2748428575,1.6559644,2
5200,0.15945903003999998,1.2455977054095118,-4.0487328,-0.30811762249999997,0.059280635,0.601147405,5.204921,0.03887375577999999,1.0732180529370743,-1.9899504,-0.8227382375000001,0.064273717,0.825986025,2.148453,-0.04594934752,0.8023457878926441,-1.7487717,-0.6241424074999999,0.10073399499999999,0.4014332275,1.9625087,2
5250,0.35052265792,2.0915337715912488,-3.678929,-0.5962169225,0.160943272,1.004427525,6.1875315,-0.14828697615999994,2.3392126439768335,-10.778891,-1.0793754,-0.175158025,1.1682867000000001,4.0946736,-0.02190569771999998,1.4420886295381188,-5.3066597,-0.45919597500000003,-0.037508488,0.847043395,2.914298,2
