time,x,y,z,abu
1.365733453E1,2.489969730E-1,2.011129409E-1,-1.819593310E-1,3.681780897E-1
1.367732588E1,3.256114423E-1,2.585737705E-1,-1.915361285E-1,4.577873903E-1
1.369733046E1,2.873041928E-1,3.064578176E-1,-3.830722719E-2,4.218145763E-1
1.371733880E1,1.149216816E-1,2.873041928E-1,2.106897533E-1,3.743539291E-1
1.373734333E1,2.873042040E-2,3.160346150E-1,1.628057212E-1,3.566637321E-1
1.375734624E1,1.053448766E-1,2.489969730E-1,1.149216816E-1,2.937754730E-1
1.377730864E1,1.340752989E-1,1.819593310E-1,2.298433632E-1,3.223559454E-1
1.379733156E1,1.053448766E-1,1.628057212E-1,1.149216816E-1,2.254112659E-1
1.381732380E1,1.244984865E-1,9.576806426E-2,-9.576806799E-3,1.573629896E-1
1.383731161E1,-9.576806799E-3,1.053448766E-1,-2.489969730E-1,2.705341953E-1
1.385733729E1,5.746084079E-2,8.619125932E-2,-1.436520964E-1,1.771062004E-1
1.387756650E1,7.661445439E-2,5.746084079E-2,-1.628057212E-1,1.888841594E-1
1.389733593E1,0.000000000E0,2.873042040E-2,-2.202665508E-1,2.221323715E-1
1.391734182E1,1.915361360E-2,1.915361360E-2,-3.064578176E-1,3.076525894E-1
1.393733776E1,-6.703764945E-2,-5.746084079E-2,-2.298433632E-1,2.462189397E-1
1.395732020E1,-7.661445439E-2,-3.830722719E-2,9.576806799E-3,8.619126119E-2
1.397733442E1,4.788403213E-2,2.873042040E-2,-9.576806799E-3,5.665715151E-2
1.399733400E1,5.746084079E-2,9.576806426E-2,-2.873042040E-2,1.153200217E-1
1.401732354E1,7.661445439E-2,7.661445439E-2,-3.830722719E-2,1.149216816E-1
1.403732505E1,7.661445439E-2,7.661445439E-2,-3.830722719E-2,1.149216816E-1
1.405736458E1,1.915361285E-1,1.244984865E-1,9.576806426E-2,2.477044283E-1
1.407732578E1,1.340752989E-1,1.149216816E-1,5.746084079E-2,1.857011764E-1
1.409733020E1,3.830722719E-2,1.532289088E-1,1.244984865E-1,2.011129416E-1
1.411732400E1,1.244984865E-1,1.819593310E-1,1.819593310E-1,2.858640751E-1
1.413734526E1,1.436520964E-1,1.628057212E-1,1.149216816E-1,2.456595623E-1
1.415733067E1,4.788403213E-2,1.053448766E-1,-1.053448766E-1,1.564863144E-1
1.417766900E1,8.619125932E-2,4.788403213E-2,-2.777273953E-1,2.947105696E-1
1.419732750E1,2.873042040E-2,2.873042040E-2,-1.915361285E-1,1.957982703E-1
1.421733015E1,5.746084079E-2,8.619125932E-2,-1.628057212E-1,1.929673139E-1
1.423732911E1,1.340752989E-1,5.746084079E-2,-1.532289088E-1,2.115585793E-1
1.425731953E1,1.723825186E-1,1.053448766E-1,6.703764945E-2,2.128551672E-1
1.427733265E1,7.661445439E-2,3.830722719E-2,-3.830722719E-2,9.383316009E-2
1.429732749E1,6.703764945E-2,4.788403213E-2,-8.619125932E-2,1.192302821E-1
1.431734239E1,9.576806426E-2,1.149216816E-1,-6.703764945E-2,1.639285255E-1
1.433733432E1,1.053448766E-1,9.576806426E-2,-9.576806426E-2,1.715825961E-1
1.435733255E1,1.532289088E-1,1.053448766E-1,-9.576806426E-2,2.091606169E-1
1.437732843E1,1.340752989E-1,9.576806426E-2,-2.873042040E-2,1.672517413E-1
1.439733208E1,1.628057212E-1,1.628057212E-1,5.746084079E-2,2.373039273E-1
1.441733286E1,2.106897533E-1,1.723825186E-1,9.576806426E-2,2.885782858E-1
1.443733453E1,2.489969730E-1,1.244984865E-1,9.576806799E-3,2.785517563E-1
1.445737359E1,1.149216816E-1,1.244984865E-1,9.576806799E-3,1.697014475E-1
1.447733744E1,4.788403213E-2,5.746084079E-2,-4.788403213E-2,8.881165065E-2
1.449732552E1,9.576806426E-2,6.703764945E-2,-2.873042040E-2,1.203785929E-1
1.451735630E1,2.011129409E-1,4.788403213E-2,1.915361360E-2,2.076202217E-1
1.453733598E1,1.244984865E-1,9.576806426E-2,9.576806799E-3,1.573629896E-1
1.455733067E1,1.244984865E-1,1.915361360E-2,9.576806799E-3,1.263267560E-1
1.457732302E1,1.149216816E-1,9.576806799E-3,-4.788403213E-2,1.248662831E-1
1.459733041E1,7.661445439E-2,0.000000000E0,-9.576806426E-2,1.226429645E-1
1.461731994E1,1.053448766E-1,-4.788403213E-2,-4.788403213E-2,1.252329993E-1
1.463731463E1,1.053448766E-1,4.788403213E-2,-5.746084079E-2,1.291981880E-1
1.465731494E1,2.968810201E-1,6.703764945E-2,1.915361360E-2,3.049577798E-1
1.467731505E1,2.777273953E-1,3.830722719E-2,-9.576806799E-3,2.805203468E-1
1.469733557E1,8.619125932E-2,-5.746084079E-2,-5.746084079E-2,1.184585566E-1
1.471732635E1,3.830722719E-2,9.576806799E-3,-2.873042040E-2,4.883232474E-2
1.473732546E1,1.532289088E-1,4.788403213E-2,-9.576806799E-3,1.608219334E-1
1.475732302E1,1.436520964E-1,4.788403213E-2,9.576806799E-3,1.517251481E-1
1.477731182E1,1.244984865E-1,4.788403213E-2,5.746084079E-2,1.452394640E-1
1.479733208E1,6.703764945E-2,8.619125932E-2,2.873042040E-2,1.129088866E-1
1.481732182E1,1.436520964E-1,1.915361360E-2,-1.149216816E-1,1.849588565E-1
1.483733432E1,2.298433632E-1,7.661445439E-2,-6.703764945E-2,2.513797777E-1
1.485735119E1,1.149216816E-1,9.576806799E-3,-7.661445439E-2,1.384502898E-1
1.487730885E1,-1.915361360E-2,3.830722719E-2,-2.106897533E-1,2.149987830E-1
1.489733244E1,4.788403213E-2,9.576806426E-2,-1.819593310E-1,2.111246097E-1
1.491733557E1,1.244984865E-1,5.746084079E-2,-2.873042040E-2,1.400966039E-1
1.493732677E1,1.819593310E-1,-9.576806799E-3,1.340752989E-1,2.262235601E-1
1.495729531E1,1.340752989E-1,9.576806426E-2,8.619125932E-2,1.859479526E-1
1.497761645E1,4.788403213E-2,1.149216816E-1,5.746084079E-2,1.371190054E-1
1.499734197E1,7.661445439E-2,1.244984865E-1,-9.576806799E-3,1.464969726E-1
1.501792760E1,1.244984865E-1,1.628057212E-1,-3.830722719E-2,2.085018457E-1
1.503733619E1,1.436520964E-1,9.576806426E-2,-1.915361360E-2,1.737075354E-1
1.505733598E1,1.628057212E-1,9.576806426E-2,9.576806799E-3,1.891267834E-1
1.507732364E1,1.915361285E-1,1.436520964E-1,1.532289088E-1,2.842553637E-1
1.509733385E1,1.244984865E-1,9.576806426E-2,7.661445439E-2,1.747603213E-1
1.511734192E1,7.661445439E-2,4.788403213E-2,-2.202665508E-1,2.380756362E-1
1.513733411E1,1.244984865E-1,4.788403213E-2,-2.585737705E-1,2.909521412E-1
1.515731276E1,1.149216816E-1,1.053448766E-1,-8.619125932E-2,1.781389040E-1
1.517732973E1,1.915361360E-2,9.576806426E-2,4.788403213E-2,1.087716120E-1
1.519732426E1,-8.619125932E-2,4.788403213E-2,-1.532289088E-1,1.822111747E-1
1.521735786E1,7.661445439E-2,6.703764945E-2,-1.915361285E-1,2.169099112E-1
1.523732666E1,1.244984865E-1,8.619125932E-2,-7.661445439E-2,1.697014465E-1
1.525772682E1,4.788403213E-2,4.788403213E-2,-7.661445439E-2,1.022523138E-1
1.527735057E1,1.340752989E-1,1.053448766E-1,5.746084079E-2,1.799318678E-1
1.529733807E1,2.873042040E-2,9.576806426E-2,1.149216816E-1,1.523284349E-1
1.531732729E1,3.830722719E-2,1.244984865E-1,-8.619125932E-2,1.561929896E-1
1.533731973E1,1.340752989E-1,1.340752989E-1,-1.053448766E-1,2.169099228E-1
1.535733249E1,1.915361360E-2,1.244984865E-1,-1.244984865E-1,1.771062032E-1
1.537732364E1,2.681505978E-1,1.532289088E-1,-4.788403213E-2,3.125327537E-1
1.539733578E1,1.436520964E-1,1.149216816E-1,2.106897533E-1,2.797017873E-1
1.541735260E1,-9.576806799E-3,9.576806426E-2,2.681505978E-1,2.848999482E-1
1.543733380E1,8.619125932E-2,1.628057212E-1,-5.746084079E-2,1.929673139E-1
1.545756687E1,1.436520964E-1,9.576806426E-2,-2.011129409E-1,2.650544509E-1
1.547734359E1,4.788403213E-2,4.788403213E-2,-6.703764945E-2,9.528802396E-2
1.549733572E1,1.915361360E-2,5.746084079E-2,-5.746084079E-2,8.348866607E-2
1.551733807E1,1.915361360E-2,1.915361360E-2,-1.819593310E-1,1.839644530E-1
1.553733609E1,1.149216816E-1,4.788403213E-2,-1.819593310E-1,2.204746507E-1
1.555732322E1,1.149216816E-1,5.746084079E-2,-5.746084079E-2,1.407497401E-1
1.557733395E1,9.576806799E-3,4.788403213E-2,-1.915361360E-2,5.245432942E-2
1.559789952E1,1.915361360E-2,4.788403213E-2,-8.619125932E-2,1.004423946E-1
1.561733854E1,7.661445439E-2,1.053448766E-1,-1.436520964E-1,1.939155550E-1
1.563733906E1,1.244984865E-1,1.244984865E-1,-1.340752989E-1,2.213050656E-1
1.565734145E1,1.723825186E-1,2.873042040E-2,-1.149216816E-1,2.091606146E-1
1.567732765E1,1.819593310E-1,1.340752989E-1,8.619125932E-2,2.418973276E-1
1.569734562E1,2.873042040E-2,8.619125932E-2,1.915361285E-1,2.119916479E-1
1.571734525E1,5.746084079E-2,1.436520964E-1,8.619125932E-2,1.771062004E-1
1.573734395E1,2.106897533E-1,1.532289088E-1,-2.873042040E-2,2.620967525E-1
1.575731885E1,1.340752989E-1,5.746084079E-2,-1.436520964E-1,2.047287444E-1
1.577734171E1,7.661445439E-2,9.576806426E-2,0.000000000E0,1.226429645E-1
1.579733520E1,-1.915361360E-2,5.746084079E-2,4.788403213E-2,7.721068366E-2
1.581733202E1,1.915361360E-2,9.576806426E-2,-1.053448766E-1,1.436521009E-1
1.583731213E1,1.149216816E-1,3.830722719E-2,-9.576806426E-2,1.544213673E-1
1.585733025E1,9.576806426E-2,5.746084079E-2,2.873042040E-2,1.153200217E-1
1.587732755E1,9.576806426E-2,2.873042040E-2,-7.661445439E-2,1.259632240E-1
1.589735411E1,-3.830722719E-2,2.873042040E-2,1.915361360E-2,5.157268294E-2
1.591733208E1,9.576806426E-2,6.703764945E-2,0.000000000E0,1.168998228E-1
1.593758473E1,1.628057212E-1,4.788403213E-2,-6.703764945E-2,1.824626806E-1
1.595731859E1,1.053448766E-1,1.915361360E-2,-4.788403213E-2,1.172914510E-1
1.597733390E1,6.703764945E-2,4.788403213E-2,-5.746084079E-2,1.004423974E-1
1.599734025E1,2.873042040E-2,4.788403213E-2,-8.619125932E-2,1.026998090E-1
1.601733604E1,8.619125932E-2,5.746084079E-2,-7.661445439E-2,1.288427570E-1
1.603734338E1,2.011129409E-1,6.703764945E-2,0.000000000E0,2.119916542E-1
1.605732947E1,1.436520964E-1,1.915361360E-2,-9.576806799E-3,1.452394607E-1
1.607732911E1,2.873042040E-2,5.746084079E-2,-9.576806799E-3,6.495306389E-2
1.609734286E1,1.340752989E-1,8.619125932E-2,-9.576806799E-3,1.596772814E-1
1.611733552E1,1.340752989E-1,6.703764945E-2,1.915361360E-2,1.511194664E-1
1.613775395E1,1.436520964E-1,7.661445439E-2,0.000000000E0,1.628057106E-1
1.615730161E1,1.340752989E-1,6.703764945E-2,-4.788403213E-2,1.573629968E-1
1.617733604E1,1.532289088E-1,8.619125932E-2,-8.619125932E-2,1.957982759E-1
