time,pressure
1666845870808,1002.07904
1666845870828,1002.0964
1666845870848,1002.0867
1666845870869,1002.0818
1666845870888,1002.08215
1666845870909,1002.0704
1666845870929,1002.0637
1666845870949,1002.0673
1666845870970,1002.0984
1666845870988,1002.08405
1666845871009,1002.0884
1666845871028,1002.08575
1666845871049,1002.05835
1666845871071,1002.1045
1666845871088,1002.07635
1666845871109,1002.1025
1666845871128,1002.0978
1666845871148,1002.1039
1666845871171,1002.08057
1666845871194,1002.0604
1666845871209,1002.06793
1666845871228,1002.09576
1666845871250,1002.0794
1666845871271,1002.0851
1666845871290,1002.0601
1666845871309,1002.07513
1666845871328,1002.06323
1666845871349,1002.06824
1666845871371,1002.0654
1666845871388,1002.037
1666845871408,1002.09576
1666845871429,1002.05963
1666845871452,1002.06854
1666845871468,1002.08966
1666845871489,1002.0965
1666845871508,1002.07697
1666845871528,1002.07245
1666845871549,1002.06635
1666845871568,1002.0571
1666845871588,1002.0629
1666845871608,1002.06854
1666845871629,1002.0876
1666845871648,1002.08105
1666845871670,1002.08215
1666845871689,1002.07855
1666845871708,1002.0903
1666845871728,1002.0662
1666845871749,1002.0579
1666845871768,1002.0434
1666845871789,1002.03076
1666845871808,1002.0389
1666845871829,1002.04816
1666845871848,1002.004
1666845871869,1002.0452
1666845871888,1002.06165
1666845871908,1002.01196
1666845871929,1002.0609
1666845871950,1002.06116
1666845871968,1002.0436
1666845871988,1002.06586
1666845872009,1002.0437
1666845872029,1002.01135
1666845872048,1002.02277
1666845872069,1002.03107
1666845872088,1002.06494
1666845872108,1002.0531
1666845872129,1002.0517
1666845872151,1002.0323
1666845872169,1002.0448
1666845872188,1002.05023
1666845872209,1002.0601
1666845872228,1002.06244
1666845872250,1002.0662
1666845872269,1002.0537
1666845872288,1002.02356
1666845872309,1001.9745
1666845872328,1001.9957
1666845872348,1002.0065
1666845872369,1002.02014
1666845872390,1002.0261
1666845872408,1002.0304
1666845872428,1002.01685
1666845872449,1002.02716
1666845872468,1002.0029
1666845872489,1001.99994
1666845872508,1002.01294
1666845872532,1002.01587
1666845872548,1002.0312
1666845872568,1002.01105
1666845872588,1002.0337
1666845872609,1002.01184
1666845872629,1002.0477
1666845872649,1002.01337
1666845872668,1002.00433
1666845872688,1002.00684
1666845872710,1002.01135
1666845872728,1002.01544
1666845872748,1002.01825
1666845872769,1002.0389
1666845872789,1002.00665
1666845872809,1001.9612
1666845872828,1002.00684
1666845872849,1001.9867
1666845872870,1002.0054
1666845872889,1002.00574
1666845872909,1001.9912
1666845872928,1002.0392
1666845872950,1002.0298
1666845872968,1002.00305
1666845872989,1002.02045
1666845873012,1001.99963
1666845873029,1002.0009
1666845873049,1001.9764
1666845873068,1002.0346
1666845873089,1001.9895
1666845873112,1002.0023
1666845873128,1002.0247
1666845873148,1002.0439
1666845873168,1002.0223
1666845873189,1002.03217
1666845873209,1002.00745
1666845873228,1002.02155
1666845873249,1002.01416
1666845873268,1002.01447
1666845873290,1002.0059
1666845873308,1001.95264
1666845873328,1002.0069
1666845873348,1002.0045
1666845873370,1002.00854
1666845873389,1001.99713
1666845873408,1002.0398
1666845873429,1001.98804
1666845873448,1001.9678
1666845873469,1001.99347
1666845873491,1001.9681
1666845873508,1001.9921
1666845873530,1002.0004
1666845873548,1001.96466
1666845873569,1001.94867
1666845873589,1001.99316
1666845873608,1001.9825
1666845873629,1001.9817
1666845873648,1001.98303
1666845873668,1001.9612
1666845873689,1001.95667
1666845873709,1001.9889
1666845873729,1001.9896
1666845873749,1001.96716
1666845873768,1001.9267
1666845873788,1001.9768
1666845873808,1001.9312
1666845873828,1001.93854
1666845873848,1001.94684
1666845873869,1001.9765
1666845873888,1001.9854
1666845873908,1001.96625
1666845873928,1001.96356
1666845873949,1001.96106
1666845873970,1001.97174
1666845873988,1001.9826
1666845874009,1001.9745
1666845874028,1001.979
1666845874048,1001.9712
1666845874072,1001.95135
1666845874088,1001.94244
1666845874110,1001.9676
1666845874128,1001.9842
1666845874148,1001.9898
1666845874169,1001.96857
1666845874188,1001.96936
1666845874209,1001.95526
1666845874229,1001.95013
1666845874249,1001.9747
1666845874272,1001.9343
1666845874288,1001.9606
1666845874308,1001.95013
1666845874328,1001.94214
